epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93024,2.3873,8.66109,1.71105,0,0,0,0,2.3827,5.35441,1.79347,2e-05,2e-05,2e-05
2,3.4341,2.10079,6.45516,1.66027,0,0,0,0,1.83083,4.89445,1.55788,5.406e-05,5.406e-05,5.406e-05
3,4.96811,1.03275,4.75141,1.24525,0,0,0,0,1.22688,4.56018,1.26449,8.02e-05,8.02e-05,8.02e-05
4,6.4702,1.27024,4.82509,1.1757,0.001,0.3,0.00077,0.00028,1.2249,4.37513,1.11298,9.842e-05,9.842e-05,9.842e-05
5,7.95619,1.76486,7.11658,1.26164,0.002,0.6,0.00239,0.00117,1.29927,4.19649,1.04822,0.00010872,0.00010872,0.00010872
6,9.41848,1.17009,4.10975,1.06099,0.002,0.6,0.00321,0.00206,1.11816,4.11082,0.96161,0.0001111,0.0001111,0.0001111
7,11.0732,1.11721,4.02316,0.9694,0.00333,1,0.00675,0.00376,0.95677,4.02321,0.91291,0.00010556,0.00010556,0.00010556
8,12.5177,1.08705,3.9112,0.94072,0.00333,1,0.00797,0.00476,0.87507,3.96637,0.88775,9.21e-05,9.21e-05,9.21e-05
9,14.1098,1.18821,3.35007,1.04672,0.00333,1,0.00831,0.00561,0.86012,3.92297,0.86978,7.072e-05,7.072e-05,7.072e-05
10,15.7698,1.02556,2.84184,1.02017,0.00333,1,0.00826,0.00557,0.86722,3.86245,0.86539,4.142e-05,4.142e-05,4.142e-05
